id,Predicted
114982,376773.0
95653,468451.8
40303,368387.6
109506,302800.1
100149,410081.1
7610,334489.0
61101,337397.5
68167,447583.0
65701,317275.4
56039,315022.7
81919,442364.8
99768,425518.5
124053,659346.4
3942,347520.6
118904,508431.8
30060,367784.0
185729,568572.5
46357,778870.7
20662,386854.4
102274,494336.4
53369,257700.8
9719,347486.8
20145,323939.6
159051,638307.4
31481,313176.3
142247,375699.1
29119,336074.4
151448,399419.3
60594,276357.8
83400,550761.6
40168,296050.4
52407,373929.4
127232,482510.1
131188,442783.3
952,227704.6
166230,444623.7
144844,417293.8
33207,322520.7
28355,749119.4
179918,650679.9
162451,785166.6
19390,263503.6
114861,423664.2
132259,343879.2
180033,845159.7
97052,525403.6
94224,363779.9
32295,434448.7
171908,715571.4
80236,487601.6
156193,419264.3
54494,308517.6
174530,628953.8
143835,346220.6
26275,341172.7
61627,585982.4
49813,364913.2
3466,428495.3
117691,480358.3
132738,533949.7
114211,550919.8
116741,465574.8
39246,390700.1
150011,341513.5
182319,549992.3
32441,333902.7
18842,337475.4
99428,386825.6
96435,392780.0
134803,372843.7
171636,594458.8
115944,523205.9
149001,492980.0
19084,350925.2
178128,724606.1
74818,412709.5
49603,310015.4
86262,610760.5
14520,278646.2
57209,807779.6
148575,590103.1
33,242424.4
180401,695207.6
87114,444816.7
16450,333752.9
28848,357575.4
11519,252204.9
7202,310759.4
2843,257807.5
156073,493759.7
132217,428606.0
140349,538343.4
34614,301910.1
135594,423823.9
170933,706556.3
62586,382926.1
145868,397792.3
15155,228333.9
61290,337619.8
184569,599670.7
169996,379013.2
7026,363118.9
128356,369052.6
134501,513377.1
163406,608649.2
56796,394352.6
174870,770970.8
142554,515197.6
59547,274208.3
143113,447432.2
154091,455072.3
61191,497077.8
135899,421398.8
172405,617111.6
184121,587379.4
1063,351228.8
6348,343175.4
79995,564744.7
50573,338661.9
79894,473708.0
113553,365166.8
31931,363720.3
86645,406565.9
123780,362145.1
142940,471733.4
138987,503470.6
41502,264165.8
100104,530156.5
83570,449853.7
181648,762385.5
68406,429866.4
114567,328104.5
5470,385667.0
176926,868540.7
173013,448740.5
110219,392322.7
52178,246790.2
120569,505792.3
132710,492333.2
10478,411847.0
100309,810393.5
76446,347346.5
140674,391126.5
122786,485194.5
66214,417331.8
120240,294473.1
113802,374835.2
169747,524769.1
45819,373102.7
36170,303531.0
84049,492986.9
104675,330947.9
66165,809558.5
92499,363894.0
107783,521104.9
148441,464385.9
12344,277919.4
93256,549626.3
48139,494217.5
101908,344523.2
134084,398277.8
17216,275009.6
185201,642186.7
185016,668130.6
25318,362176.9
65253,319854.7
57696,263941.8
30939,338931.5
128338,363966.2
104156,418170.5
41455,348324.6
126390,361029.5
165803,487077.3
108253,386533.9
15221,228447.4
129322,344463.1
86142,659083.6
150957,488615.6
97028,409945.6
3219,353304.8
172533,492187.0
147313,446819.8
168865,443583.0
138278,459380.0
82280,312226.3
4380,281944.8
4327,511348.6
109861,434136.6
45273,499613.4
102888,816311.4
77664,427435.2
58355,315497.9
91308,286619.2
169692,463562.4
154931,571242.6
123897,418870.8
43550,476089.7
94084,411645.0
63629,333838.4
163153,427995.6
165076,692734.9
55701,347202.0
19310,363068.0
18205,346063.4
59608,390733.9
60785,473591.1
51513,311678.1
145397,391274.4
101693,420565.3
164688,518296.0
82863,354152.9
1754,276964.6
5376,369583.1
130074,496327.1
102843,745489.6
29760,335599.8
130642,389272.4
31347,418904.3
24205,309963.6
165100,419692.8
81514,484182.2
116369,625073.1
84639,336155.1
97982,503323.8
91083,686133.5
149132,539032.2
41826,428602.3
52033,291712.3
21665,297659.9
62257,269974.3
10102,354012.6
23904,302006.0
179693,970227.1
144227,777033.9
120211,343566.4
173440,422131.2
46749,355746.1
96942,544424.7
183177,502582.5
35398,307554.2
30263,320279.0
48194,352268.1
129424,482190.0
110123,418696.5
60370,537095.9
33837,385265.7
108049,493474.5
78656,436770.4
7172,287750.0
66304,402701.3
78058,408339.2
176324,699235.6
165880,550996.4
93902,346006.7
116039,346315.2
151166,493321.3
40210,297254.4
98367,382772.4
160925,490171.4
104371,559022.6
78415,722059.6
83660,560074.4
121434,601683.8
78336,576670.8
52510,383296.0
64261,372487.0
97749,433588.7
172084,516544.1
52569,278765.2
57400,398566.8
169875,547452.5
58398,390227.6
183622,744751.9
48753,483481.9
130190,652270.1
108466,339597.8
157786,540968.3
95190,353156.5
87452,452478.2
142203,558110.4
130773,633883.0
168853,400684.8
64684,361107.9
57446,333331.9
153747,350027.4
159666,431851.1
71555,404530.0
134319,749432.7
93943,438476.1
109872,598172.5
177223,794845.5
93784,595550.1
6380,324600.4
132297,417619.7
125110,500507.3
36843,377480.2
121955,408054.0
82973,558433.1
103986,347788.7
97824,397373.0
64151,381496.0
165946,410651.7
159307,401832.8
131434,361952.7
8556,485798.7
37868,396423.3
14032,296147.2
21341,377792.5
135288,524137.4
50116,263860.5
97940,430232.1
162134,476656.6
166998,493914.3
137392,488249.3
1460,345102.8
171905,752062.8
175067,593705.8
172514,660042.5
17738,290171.6
67047,370230.0
124014,477379.3
185762,750521.6
1311,299568.0
119140,607652.8
142546,512821.9
114400,323431.0
22406,448797.2
92766,538641.6
60485,401316.0
91648,436346.9
132526,783531.0
25180,419037.7
48904,266784.5
146550,457887.6
19407,505283.2
47699,302200.7
2620,295256.5
174106,565983.3
112846,465858.0
83926,447477.1
64285,371696.1
5733,323041.1
87638,546931.7
53604,312171.7
53244,411547.9
82872,349953.2
66096,573732.7
173642,376012.5
145405,392724.3
90156,579499.6
180075,676426.1
5153,285593.6
134959,521721.2
64342,372121.9
51154,378796.6
